ID,genero,idade,etnia,formacao,estado,tempo_de_casa,departamento,senioridade
C80C,Feminino,34,Pardo,Ensino Medio,SC,12,Compras,Analista Pleno
CD3C,Feminino,26,Pardo,Ensino Medio,PA,6,Contabilidade,Analista Junior
32E9,Masculino,35,Pardo,Ensino Medio,SC,5,Vendas,Analista Pleno
9678,Masculino,24,Pardo,Ensino Superior,TO,4,Administrativo,Gerente
0E84,Masculino,21,Pardo,Ensino Superior,CE,5,Recursos Humanos,Analista Junior
4AE5,Feminino,49,Pardo,Ensino Superior,SP,3,Contabilidade,Analista Pleno
60F9,Masculino,29,Pardo,Pos graduacao,CE,9,Compras,Analista Senior
4C93,Masculino,35,Pardo,Ensino Superior,RO,8,Operacoes,Analista Junior
9910,Masculino,40,Pardo,Mestrado,AP,1,Administrativo,Analista Pleno
FDBA,Masculino,33,Pardo,Ensino Superior,MG,3,Desenvolvimento de Produtos,Analista Pleno
2782,Feminino,54,Pardo,Pos graduacao,SP,5,Recursos Humanos,Analista Senior
6255,Masculino,34,Pardo,Mestrado,AC,3,Administrativo,Analista Junior
B133,Masculino,18,Preto,Pos graduacao,SC,,Administrativo,Analista Junior
E939,Feminino,35,Preto,Doutorado,RR,6,Contabilidade,Analista Junior
41FE,Masculino,19,Branco,Ensino Medio,AM,,Administrativo,Analista Junior
B83B,Masculino,37,Branco,Mestrado,SP,8,Desenvolvimento de Produtos,Analista Junior
19B5,Masculino,29,Branco,Pos graduacao,RR,3,Administrativo,Analista Senior
ED90,Masculino,38,Pardo,Doutorado,MG,3,Administrativo,Analista Senior
A918,Masculino,18,Branco,Ensino Medio,CE,,Contabilidade,Gerente
737A,Masculino,41,Pardo,Ensino Superior,PR,5,Administrativo,Analista Junior
6249,Masculino,46,Branco,Ensino Superior,SC,3,Recursos Humanos,Analista Pleno
0F47,Masculino,26,Pardo,Ensino Superior,BA,8,Vendas,Analista Junior
6FA2,Masculino,31,Branco,Ensino Medio,AM,0,Operacoes,Estagiario
CE0A,Masculino,29,Branco,Ensino Superior,PI,7,Marketing,Analista Junior
A7D5,Feminino,35,Preto,Ensino Superior,SP,5,Compras,Analista Junior
7A17,Masculino,32,Branco,Ensino Superior,GO,5,TI,Analista Senior
BF05,Feminino,48,Preto,Ensino Superior,RJ,3,Administrativo,Gerente
