,ID,genero,idade,etnia,formacao,estado,tempo_de_casa,departamento,senioridade
0,C80C,Feminino,34,Pardo,Ensino Medio,SC,12,Compras,Analista Pleno
1,CD3C,Feminino,26,Pardo,Ensino Medio,PA,6,Contabilidade,Analista Junior
2,32E9,Masculino,35,Pardo,Ensino Medio,SC,5,Vendas,Analista Pleno
3,9678,Masculino,24,Pardo,Ensino Superior,TO,4,Administrativo,Gerente
4,0E84,Masculino,21,Pardo,Ensino Superior,CE,5,Recursos Humanos,Analista Junior
5,4AE5,Feminino,49,Pardo,Ensino Superior,SP,3,Contabilidade,Analista Pleno
6,60F9,Masculino,29,Pardo,Pos graduacao,CE,9,Compras,Analista Senior
7,4C93,Masculino,35,Pardo,Ensino Superior,RO,8,Operacoes,Analista Junior
8,9910,Masculino,40,Pardo,Mestrado,AP,1,Administrativo,Analista Pleno
9,FDBA,Masculino,33,Pardo,Ensino Superior,MG,3,Desenvolvimento de Produtos,Analista Pleno
10,2782,Feminino,54,Pardo,Pos graduacao,SP,5,Recursos Humanos,Analista Senior
11,6255,Masculino,34,Pardo,Mestrado,AC,3,Administrativo,Analista Junior
12,B133,Masculino,18,Preto,Pos graduacao,SC,,Administrativo,Analista Junior
13,E939,Feminino,35,Preto,Doutorado,RR,6,Contabilidade,Analista Junior
14,41FE,Masculino,19,Branco,Ensino Medio,AM,,Administrativo,Analista Junior
15,B83B,Masculino,37,Branco,Mestrado,SP,8,Desenvolvimento de Produtos,Analista Junior
16,19B5,Masculino,29,Branco,Pos graduacao,RR,3,Administrativo,Analista Senior
17,ED90,Masculino,38,Pardo,Doutorado,MG,3,Administrativo,Analista Senior
18,A918,Masculino,18,Branco,Ensino Medio,CE,,Contabilidade,Gerente
19,737A,Masculino,41,Pardo,Ensino Superior,PR,5,Administrativo,Analista Junior
20,6249,Masculino,46,Branco,Ensino Superior,SC,3,Recursos Humanos,Analista Pleno
21,9615,Masculino,49,Pardo,Doutorado,AC,6,Contabilidade,Estagiario
22,0F47,Masculino,26,Pardo,Ensino Superior,BA,8,Vendas,Analista Junior
23,6FA2,Masculino,31,Branco,Ensino Medio,AM,0,Operacoes,Estagiario
24,CE0A,Masculino,29,Branco,Ensino Superior,PI,7,Marketing,Analista Junior
25,F4AF,Feminino,31,Pardo,Ensino Superior,SP,4,Contabilidade,Estagiario
26,A7D5,Feminino,35,Preto,Ensino Superior,SP,5,Compras,Analista Junior
27,7A17,Masculino,32,Branco,Ensino Superior,GO,5,TI,Analista Senior
28,BF05,Feminino,48,Preto,Ensino Superior,RJ,3,Administrativo,Gerente
29,5B01,Feminino,29,Branco,Ensino Superior,PR,0,Administrativo,Gerente
30,18F5,Feminino,32,Pardo,Ensino Superior,RN,,Marketing,Analista Junior
31,1848,Feminino,39,Pardo,Mestrado,PR,4,Recursos Humanos,Gerente
32,C531,Feminino,18,Branco,Mestrado,PI,,Marketing,Analista Junior
33,BF84,Masculino,43,Branco,Ensino Superior,PR,,Marketing,Analista Junior
34,E235,Masculino,44,Branco,Ensino Superior,PE,4,Operacoes,Gerente
35,8938,Masculino,47,Pardo,Ensino Superior,CE,2,Administrativo,Estagiario
36,243F,Masculino,33,Branco,Ensino Superior,CE,4,Compras,Analista Pleno
37,E9E6,Masculino,31,Pardo,Ensino Superior,TO,6,Desenvolvimento de Produtos,Analista Pleno
38,F298,Feminino,27,Preto,Ensino Medio,MT,0,Administrativo,Analista Junior
39,4BC5,Feminino,28,Preto,Ensino Superior,RJ,8,Marketing,Analista Senior
40,9868,Feminino,29,Branco,Mestrado,AP,1,Compras,Analista Junior
41,58F4,Masculino,34,Branco,Ensino Superior,PE,0,TI,Analista Senior
42,4532,Masculino,31,Preto,Ensino Superior,RJ,8,Compras,Analista Junior
43,12B8,Masculino,30,Branco,Ensino Superior,RN,8,Vendas,Analista Pleno
44,A2CA,Masculino,22,Branco,Mestrado,PE,1,Marketing,Analista Pleno
45,E8CB,Masculino,21,Pardo,Ensino Superior,AP,7,Contabilidade,Analista Pleno
46,71FA,Masculino,39,Pardo,Pos graduacao,PR,6,Compras,Analista Pleno
47,F9D1,Masculino,20,Pardo,Ensino Superior,AC,4,Contabilidade,Analista Pleno
48,0D98,Masculino,36,Pardo,Pos graduacao,PR,8,Recursos Humanos,Analista Pleno
49,C3EB,Masculino,30,Pardo,Ensino Superior,AP,5,Compras,Analista Pleno
50,EC83,Feminino,29,Branco,Ensino Medio,SC,2,Contabilidade,Analista Junior
51,7D1E,Masculino,33,Branco,Ensino Superior,SP,5,Operacoes,Analista Junior
52,D5D3,Masculino,49,Branco,Ensino Superior,PI,2,Operacoes,Analista Pleno
53,FFD9,Feminino,40,Branco,Pos graduacao,RS,4,Contabilidade,Analista Pleno
54,13C2,Feminino,37,Branco,Doutorado,RJ,4,Administrativo,Analista Junior
55,D77E,Masculino,21,Branco,Mestrado,RO,,TI,Estagiario
56,D050,Masculino,18,Pardo,Ensino Superior,RJ,,Compras,Analista Pleno
57,2EAA,Masculino,24,Pardo,Ensino Superior,PR,8,Compras,Analista Senior
58,7CAA,Masculino,37,Pardo,Ensino Superior,PR,7,Recursos Humanos,Analista Senior
59,A0F6,Masculino,29,Branco,Pos graduacao,RS,2,Marketing,Gerente
60,0408,Feminino,30,Branco,Ensino Superior,MG,7,Desenvolvimento de Produtos,Analista Junior
61,3FD7,Masculino,20,Pardo,Ensino Superior,MG,,Desenvolvimento de Produtos,Analista Senior
62,B809,Masculino,25,Pardo,Ensino Superior,PR,,Desenvolvimento de Produtos,Analista Senior
63,787E,Masculino,29,Pardo,Ensino Superior,BA,9,TI,Analista Junior
64,ED17,Masculino,21,Pardo,Mestrado,ES,6,TI,Analista Junior
65,7C93,Masculino,27,Pardo,Pos graduacao,SP,5,Operacoes,Analista Junior
66,BCD4,Masculino,31,Pardo,Ensino Superior,RS,5,Vendas,Analista Junior
67,648E,Feminino,22,Pardo,Pos graduacao,RR,8,Marketing,Analista Pleno
68,1AC5,Masculino,29,Pardo,Ensino Superior,MA,4,Vendas,Analista Junior
69,8699,Masculino,32,Pardo,Doutorado,PB,9,Vendas,Analista Pleno
70,4F01,Masculino,24,Pardo,Ensino Superior,MA,3,Recursos Humanos,Analista Junior
71,6B89,Feminino,42,Branco,Ensino Superior,GO,2,Operacoes,Gerente
72,4551,Masculino,41,Branco,Ensino Superior,PA,3,Vendas,Analista Junior
73,799A,Masculino,18,Branco,Ensino Superior,AM,1,Operacoes,Analista Senior
74,C878,Masculino,39,Pardo,Ensino Superior,GO,8,Compras,Analista Junior
75,D553,Masculino,36,Pardo,Doutorado,RO,8,Recursos Humanos,Gerente
76,7975,Masculino,21,Preto,Ensino Medio,AC,7,Compras,Analista Junior
77,D3F9,Masculino,24,Pardo,Ensino Medio,RR,9,Desenvolvimento de Produtos,Analista Junior
78,4E64,Masculino,42,Pardo,Ensino Superior,MG,7,TI,Analista Pleno
79,ABF1,Masculino,36,Pardo,Mestrado,DF,9,Vendas,Analista Pleno
80,1566,Masculino,18,Pardo,Ensino Superior,PI,,Recursos Humanos,Analista Junior
81,9E90,Feminino,28,Branco,Ensino Superior,AP,5,Contabilidade,Analista Junior
82,8364,Masculino,25,Branco,Ensino Superior,SP,5,Administrativo,Analista Senior
83,34BE,Masculino,21,Pardo,Ensino Medio,PR,3,Operacoes,Analista Pleno
84,B2B6,Feminino,22,Pardo,Ensino Superior,MS,4,Marketing,Analista Junior
